Terrestrial ecozone,Forest Type,Percentage
Canada,Non-treed,0.049167218
Canada,Treed Broadleaf,0.11366211
Canada,Treed Coniferous,0.701547438
Canada,Treed Mixedwood,0.135623231
Atlantic Maritime,Non-treed,0.041293135
Atlantic Maritime,Treed Broadleaf,0.198955001
Atlantic Maritime,Treed Coniferous,0.417147734
Atlantic Maritime,Treed Mixedwood,0.34260413
Boreal Cordillera,Non-treed,0.04475005
Boreal Cordillera,Treed Broadleaf,0.068434753
Boreal Cordillera,Treed Coniferous,0.773829032
Boreal Cordillera,Treed Mixedwood,0.112986165
Boreal Plains,Non-treed,0.037529241
Boreal Plains,Treed Broadleaf,0.27696659
Boreal Plains,Treed Coniferous,0.550598777
Boreal Plains,Treed Mixedwood,0.134905392
Boreal Shield,Non-treed,0.049870404
Boreal Shield,Treed Broadleaf,0.114236334
Boreal Shield,Treed Coniferous,0.647333569
Boreal Shield,Treed Mixedwood,0.188559685
Hudson Plains,Non-treed,0.050377383
Hudson Plains,Treed Broadleaf,0.010478765
Hudson Plains,Treed Coniferous,0.75411919
Hudson Plains,Treed Mixedwood,0.185024662
Mixedwood Plains,Non-treed,0.048998704
Mixedwood Plains,Treed Broadleaf,0.571877618
Mixedwood Plains,Treed Coniferous,0.13571613
Mixedwood Plains,Treed Mixedwood,0.243407256
Montane Cordillera,Non-treed,0.063120967
Montane Cordillera,Treed Broadleaf,0.026575631
Montane Cordillera,Treed Coniferous,0.852051712
Montane Cordillera,Treed Mixedwood,0.058251719
Pacific Maritime,Non-treed,0.022593969
Pacific Maritime,Treed Broadleaf,0.029190569
Pacific Maritime,Treed Coniferous,0.921842821
Pacific Maritime,Treed Mixedwood,0.02637264
Prairies,Non-treed,0.185579572
Prairies,Treed Broadleaf,0.759736853
Prairies,Treed Coniferous,0.038854635
Prairies,Treed Mixedwood,0.015828287
Taiga Cordillera,Non-treed,0.021841554
Taiga Cordillera,Treed Broadleaf,0.026132773
Taiga Cordillera,Treed Coniferous,0.900798892
Taiga Cordillera,Treed Mixedwood,0.051226631
Taiga Plains,Non-treed,0.005407885
Taiga Plains,Treed Broadleaf,0.107481666
Taiga Plains,Treed Coniferous,0.782482741
Taiga Plains,Treed Mixedwood,0.104627709
Taiga Shield,Non-treed,0.090578906
Taiga Shield,Treed Broadleaf,0.025871442
Taiga Shield,Treed Coniferous,0.851828928
Taiga Shield,Treed Mixedwood,0.031720723
