Year,Jurisdiction,Forest Product,Unit of measure,Value
2000,Canada,Lumber - hardwood,Cubic Metres,1572000
2000,Canada,Lumber - softwood,Cubic Metres,75213000
2001,Canada,Lumber - hardwood,Cubic Metres,1598000
2001,Canada,Lumber - softwood,Cubic Metres,72036000
2002,Canada,Lumber - hardwood,Cubic Metres,1851000
2002,Canada,Lumber - softwood,Cubic Metres,77953000
2003,Canada,Lumber - hardwood,Cubic Metres,1840400
2003,Canada,Lumber - softwood,Cubic Metres,77530800
2004,Canada,Lumber - hardwood,Cubic Metres,2001900
2004,Canada,Lumber - softwood,Cubic Metres,82759300
2005,Canada,Lumber - hardwood,Cubic Metres,2015800
2005,Canada,Lumber - softwood,Cubic Metres,81142300
2006,Canada,Lumber - hardwood,Cubic Metres,2048800
2006,Canada,Lumber - softwood,Cubic Metres,79172900
2007,Canada,Lumber - hardwood,Cubic Metres,1858200
2007,Canada,Lumber - softwood,Cubic Metres,70549200
2008,Canada,Lumber - hardwood,Cubic Metres,1565700
2008,Canada,Lumber - softwood,Cubic Metres,56002800
2009,Canada,Lumber - hardwood,Cubic Metres,1219000
2009,Canada,Lumber - softwood,Cubic Metres,44232500
2010,Canada,Lumber - hardwood,Cubic Metres,1524000
2010,Canada,Lumber - softwood,Cubic Metres,51915400
2011,Canada,Lumber - hardwood,Cubic Metres,1471100
2011,Canada,Lumber - softwood,Cubic Metres,51935000
2012,Canada,Lumber - hardwood,Cubic Metres,1276300
2012,Canada,Lumber - softwood,Cubic Metres,54544200
2013,Canada,Lumber - hardwood,Cubic Metres,1388600
2013,Canada,Lumber - softwood,Cubic Metres,57510100
2014,Canada,Lumber - hardwood,Cubic Metres,1504000
2014,Canada,Lumber - softwood,Cubic Metres,57776100
2015,Canada,Lumber - hardwood,Cubic Metres,1724400
2015,Canada,Lumber - softwood,Cubic Metres,62719400
2016,Canada,Lumber - hardwood,Cubic Metres,1600900
2016,Canada,Lumber - softwood,Cubic Metres,65031400
2017,Canada,Lumber - hardwood,Cubic Metres,1488800
2017,Canada,Lumber - softwood,Cubic Metres,65129100
2018,Canada,Lumber - hardwood,Cubic Metres,1250900
2018,Canada,Lumber - softwood,Cubic Metres,64378500
2019,Canada,Lumber - hardwood,Cubic Metres,1032100
2019,Canada,Lumber - softwood,Cubic Metres,56659300
2020,Canada,Lumber - hardwood,Cubic Metres,997200
2020,Canada,Lumber - softwood,Cubic Metres,54718300
2021,Canada,Lumber - hardwood,Cubic Metres,880100
2021,Canada,Lumber - softwood,Cubic Metres,55841700
2022,Canada,Lumber - hardwood,Cubic Metres,873900
2022,Canada,Lumber - softwood,Cubic Metres,50521200
2023,Canada,Lumber - hardwood,Cubic Metres,899000
2023,Canada,Lumber - softwood,Cubic Metres,48182100
2024,Canada,Lumber - hardwood,Cubic Metres,858000
2024,Canada,Lumber - softwood,Cubic Metres,47894500
