Year,Jurisdiction,Commodity,Trade type,Value (dollars)
2000,Canada,Maple sugar,Exports,1774378
2000,Canada,Maple sugar,Imports,28014
2000,Canada,Maple syrup,Exports,104131447
2000,Canada,Maple syrup,Imports,1412579
2001,Canada,Maple sugar,Exports,1091952
2001,Canada,Maple sugar,Imports,78123
2001,Canada,Maple syrup,Exports,127547147
2001,Canada,Maple syrup,Imports,2660002
2002,Canada,Maple sugar,Exports,1504133
2002,Canada,Maple sugar,Imports,221095
2002,Canada,Maple syrup,Exports,152481488
2002,Canada,Maple syrup,Imports,3355120
2003,Canada,Maple sugar,Exports,1575101
2003,Canada,Maple sugar,Imports,103305
2003,Canada,Maple syrup,Exports,145667030
2003,Canada,Maple syrup,Imports,3568218
2004,Canada,Maple sugar,Exports,2152132
2004,Canada,Maple sugar,Imports,108280
2004,Canada,Maple syrup,Exports,152028610
2004,Canada,Maple syrup,Imports,5337938
2005,Canada,Maple sugar,Exports,1928828
2005,Canada,Maple sugar,Imports,290301
2005,Canada,Maple syrup,Exports,163484057
2005,Canada,Maple syrup,Imports,4035402
2006,Canada,Maple sugar,Exports,3087928
2006,Canada,Maple sugar,Imports,169508
2006,Canada,Maple syrup,Exports,187535856
2006,Canada,Maple syrup,Imports,5104867
2007,Canada,Maple sugar,Exports,4094745
2007,Canada,Maple sugar,Imports,14808
2007,Canada,Maple syrup,Exports,213536247
2007,Canada,Maple syrup,Imports,1195368
2008,Canada,Maple sugar,Exports,6074671
2008,Canada,Maple sugar,Imports,91325
2008,Canada,Maple syrup,Exports,227664178
2008,Canada,Maple syrup,Imports,5459298
2009,Canada,Maple sugar,Exports,4806516
2009,Canada,Maple sugar,Imports,338988
2009,Canada,Maple syrup,Exports,247921649
2009,Canada,Maple syrup,Imports,9972300
2010,Canada,Maple sugar,Exports,4679425
2010,Canada,Maple sugar,Imports,20160
2010,Canada,Maple syrup,Exports,226618788
2010,Canada,Maple syrup,Imports,8633117
2011,Canada,Maple sugar,Exports,4021785
2011,Canada,Maple sugar,Imports,81535
2011,Canada,Maple syrup,Exports,238099142
2011,Canada,Maple syrup,Imports,11235378
2012,Canada,Maple sugar,Exports,4957450
2012,Canada,Maple sugar,Imports,201318
2012,Canada,Maple syrup,Exports,244426500
2012,Canada,Maple syrup,Imports,8306640
2013,Canada,Maple sugar,Exports,6405953
2013,Canada,Maple sugar,Imports,101859
2013,Canada,Maple syrup,Exports,271536362
2013,Canada,Maple syrup,Imports,11951512
2014,Canada,Maple sugar,Exports,5614694
2014,Canada,Maple sugar,Imports,495794
2014,Canada,Maple syrup,Exports,304179624
2014,Canada,Maple syrup,Imports,11997941
2015,Canada,Maple sugar,Exports,5742134
2015,Canada,Maple sugar,Imports,1001916
2015,Canada,Maple syrup,Exports,353799942
2015,Canada,Maple syrup,Imports,12620050
2016,Canada,Maple sugar,Exports,6268297
2016,Canada,Maple sugar,Imports,712383
2016,Canada,Maple syrup,Exports,375139712
2016,Canada,Maple syrup,Imports,21268034
2017,Canada,Maple sugar,Exports,11473410
2017,Canada,Maple sugar,Imports,702800
2017,Canada,Maple syrup,Exports,369868403
2017,Canada,Maple syrup,Imports,16375114
2018,Canada,Maple sugar,Exports,9090786
2018,Canada,Maple sugar,Imports,723821
2018,Canada,Maple syrup,Exports,396558567
2018,Canada,Maple syrup,Imports,14056615
2019,Canada,Maple sugar,Exports,8976911
2019,Canada,Maple sugar,Imports,284754
2019,Canada,Maple syrup,Exports,420967337
2019,Canada,Maple syrup,Imports,14424349
2020,Canada,Maple sugar,Exports,14257177
2020,Canada,Maple sugar,Imports,35278
2020,Canada,Maple syrup,Exports,501759307
2020,Canada,Maple syrup,Imports,15459435
2021,Canada,Maple sugar,Exports,33971677
2021,Canada,Maple sugar,Imports,51407
2021,Canada,Maple syrup,Exports,557930365
2021,Canada,Maple syrup,Imports,10959462
2022,Canada,Maple sugar,Exports,29537147
2022,Canada,Maple sugar,Imports,93028
2022,Canada,Maple syrup,Exports,587097509
2022,Canada,Maple syrup,Imports,16846520
2023,Canada,Maple sugar,Exports,17634717
2023,Canada,Maple sugar,Imports,111249
2023,Canada,Maple syrup,Exports,599775043
2023,Canada,Maple syrup,Imports,17103779
2024,Canada,Maple sugar,Exports,11819167
2024,Canada,Maple sugar,Imports,311840
2024,Canada,Maple syrup,Exports,706246070
2024,Canada,Maple syrup,Imports,25839879
